DATETIME,000001.SZ,601882.SH,002838.SZ
2016/12/16,9.25,31.17,NA
2016/12/23,9.08,27.94,NA
2016/12/30,9.1,25.24,NA
2017/1/6,9.13,23.54,22
2017/1/13,9.16,20.95,35.43
2017/1/20,9.22,20.17,43.54
2017/1/26,9.33,19.56,48.95
2017/2/3,9.26,21.28,46.35
2017/2/10,9.33,21.24,49.3
2017/2/17,9.39,26.81,50.5
2017/2/24,9.5,24.35,62.3
2017/3/3,9.4,25.03,64.43
2017/3/10,9.4,26.19,63.28
2017/3/17,9.31,28.17,68.77
2017/3/24,9.19,28.22,73.19
2017/3/31,9.17,24.32,65.22
2017/4/7,9.2,24.25,66.59
2017/4/14,9.08,22.24,58.74
2017/4/21,8.97,20.04,64.6
2017/4/28,8.99,20.97,66.4
2017/5/5,8.63,19.99,62.15
2017/5/12,8.9,18.93,63
2017/5/19,8.69,19.85,63.68
2017/5/26,9.1,17.38,62.42
2017/6/2,9.17,17.22,60.11
2017/6/9,9.15,17.61,59.39
2017/6/16,9.02,17.78,57.62
2017/6/23,9.25,17.73,56.41
2017/6/30,9.39,17.38,35.8
2017/7/7,9.47,17.65,36.99
2017/7/14,10.9,16.95,35.03
2017/7/21,10.89,16.32,33.77
2017/7/28,10.74,15.65,34.89
2017/8/4,11.17,15.88,34.1
2017/8/11,10.02,15.95,36.88
2017/8/18,10.44,15.86,37.28
2017/8/25,11.11,16.05,36.92
2017/9/1,11.21,16.62,37.8
2017/9/8,11.49,16.77,40
2017/9/15,11.29,16.34,39.2
2017/9/22,11.44,16.86,40.16
2017/9/29,11.11,15.91,39.1
2017/10/13,11.36,16.58,41.3
2017/10/20,11.48,15.91,39.75
2017/10/27,11.56,16.4,41.25
2017/11/3,11.39,16.62,43.41
2017/11/10,12.3,16.11,43.61
2017/11/17,13.18,14.81,41.05
2017/11/24,14.56,13.46,41.45
2017/12/1,13,12.09,41.8
2017/12/8,13.09,10.88,39.54
2017/12/15,12.72,10.58,40.34
2017/12/22,13.52,10.07,41
2017/12/29,13.3,12.36,41.2
2018/1/5,13.3,12.53,41.1
2018/1/12,13.55,11.92,43
2018/1/19,14.8,11.34,42.56
2018/1/26,14.05,11.08,42.95
2018/2/2,14.05,10.2,46.9
2018/2/9,11.69,10.22,43.21
2018/2/14,12,10.13,44.13
2018/2/23,12.61,10.34,43.66
2018/3/2,11.95,11.81,46.5
2018/3/9,12.09,12.11,46.76
2018/3/16,11.64,11.52,47
2018/3/23,11.34,11.49,43.72
2018/3/30,10.9,12.46,46.78
2018/4/4,10.87,12.41,45.88
2018/4/13,11.57,13.18,45.97
2018/4/20,11.35,11.86,44.6
2018/4/27,10.85,11.38,22.45
2018/5/4,10.68,10.68,21.79
2018/5/11,11.01,12.08,22
2018/5/18,10.96,12.19,22
2018/5/25,10.59,12.13,22.65
2018/6/1,10.19,12.16,21.8
2018/6/8,10.12,13,21.28
2018/6/15,10.17,13.47,20.2
2018/6/22,9.85,11.16,19.21
2018/6/29,9.09,11.56,19.23
2018/7/6,8.66,10.71,18.45
2018/7/13,8.88,10.86,18.62
2018/7/20,9.11,10.62,18.62
2018/7/27,9.25,10.71,18.75
2018/8/3,8.91,9.91,18
2018/8/10,9.23,9.89,18.4
2018/8/17,8.81,9.03,17.75
2018/8/24,10.03,9.2,17.86
2018/8/31,10.13,8.97,17.71
2018/9/7,10.01,8.68,17.06
2018/9/14,9.84,8.5,17.06
2018/9/21,10.67,8.48,17.06
2018/9/28,11.05,8.39,17.06
2018/10/12,10.3,7.26,16.86
2018/10/19,10.76,7.01,16.11
2018/10/26,11.18,7.22,17.32
2018/11/2,11.09,7.64,17.18
2018/11/9,10.55,7.67,16.61
2018/11/16,10.57,8.17,17.55
2018/11/23,10.32,7.78,17.48
2018/11/30,10.36,7.47,17.86
2018/12/7,10.28,7.63,18.08
2018/12/14,10.17,7.37,18.22
2018/12/21,9.45,7.1,17.82
2018/12/28,9.38,7.04,17.53
2019/1/4,9.75,7.2,17.78
2019/1/11,10.2,7.46,17.77
2019/1/14,10.24,8.31,19.5
